PWGTP,WGTP,AGEP,SEX,MAR,HISP,RAC1P,CIT,SCHL,WKHP,WKWN,WAGP,HINCP,INDP,ESR,FS,SERIALNO,R65,NOC,NRC,FER,PUMA,ADJINC,HUPAOC,HUPARC,state,HHSIZE,SQ_AGEP,EDU1,EDU2,EDU3,EDU4,EDU5,BLW21,EDU_AGE,MARRIED,ADJ_WAGP,ADJ_HINCP,INDP_cat,INDP_prefix,INDP_code,IND1,IND2,IND3,IND4,IND5,IND6,OC_under6,FER_MAR,NOC_MAR,OCunder6_MAR,unemp_reg,fs_availibility,fs_lagreceipt,avg_WAGP,avg_HINCP,SIMBENEFIT,SQ_SIMBENEFIT,SIMBENEFIT_SNAP,SB_EDU2,SB_EDU3,SB_EDU4,SB_EDU5,hrs_elast,WKHP_NAP,WKHP_SNAP,WKHP_change,WKHP_change_pct
136,136,59,0,2,03,2,2,21,40,52,37000.0,52000.0,8270,1.0,1,2023HU0001049,0,0.0,0,0,1000,1.019518,4,4,72,2,3481,0,0,0,1,0,0,0,0,37722.166,53014.935999999994,MED-Nursing Care Facilities (Skilled Nursing Facilities),MED,9,0,0,0,0,0,1,0,0,0.0,0,4.015505711072972,0.05571141487096838,575,36394.37152239653,64704.90969957907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.689881586308125,37.689881586308125,0.0,0.0
197,136,32,0,5,03,2,2,21,40,52,15000.0,52000.0,9470,1.0,1,2023HU0001049,0,0.0,0,0,1000,1.019518,4,4,72,2,1024,0,0,0,1,0,0,0,0,15292.769999999999,53014.935999999994,"ADM-Justice, Public Order, And Safety Activities",ADM,1,0,0,0,0,1,0,0,0,0.0,0,4.015505711072972,0.05571141487096838,575,28310.53817718254,64704.90969957907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.37876400821439,36.37876400821439,0.0,0.0
48,49,33,0,5,01,1,1,21,50,52,90000.0,161800.0,9470,1.0,0,2023HU0001470,0,0.0,0,0,1200,1.019518,4,4,72,1,1089,0,0,0,1,0,0,0,0,91756.62,164958.01239999998,"ADM-Justice, Public Order, And Safety Activities",ADM,1,0,0,0,0,1,0,0,0,0.0,0,2.9014684983420183,0.06661025797972887,371,37021.17507808148,37021.17507808148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.513512341473536,42.513512341473536,0.0,0.0
67,67,34,0,5,03,8,2,22,40,52,70000.0,70000.0,6671,1.0,0,2023HU0001870,0,0.0,0,0,1101,1.019518,4,4,72,1,1156,0,0,0,0,1,0,0,0,71366.26,71366.26,INF-Broadcasting And Content Providers,INF,8,0,0,0,1,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,37677.677941818176,37677.677941818176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.55711325690565,42.55711325690565,0.0,0.0
46,45,67,0,3,03,8,2,19,25,52,7300.0,7300.0,0170,1.0,0,2023HU0002260,1,0.0,0,0,1300,1.019518,4,4,72,1,4489,0,0,1,0,0,0,0,0,7442.4814,7442.4814,AGR-Crop Production,AGR,2,1,0,0,0,0,0,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,3803.9349377777776,3803.9349377777776,1995.9501830691245,3983817.1332936715,3254.820567430705,0.0,1995.9501830691245,0.0,0.0,0.09638183104045726,30.49539588731762,32.0151261105039,1.5197302231862793,4.983474321178766
82,82,46,0,5,03,9,2,16,25,52,14400.0,21300.0,5392,1.0,1,2023HU0002309,0,1.0,1,0,600,1.019518,2,2,72,3,2116,0,1,0,0,0,0,0,0,14681.0592,21715.733399999997,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",RET,14,0,0,1,0,0,0,0,0,0.0,0,7.898558578086051,0.11702992978204214,649,15710.055436471988,30039.336485909404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.937065365622765,31.937065365622765,0.0,0.0
83,87,52,0,1,03,9,2,22,50,52,89000.0,201600.0,6781,1.0,0,2023HU0002454,0,1.0,1,0,2200,1.019518,2,2,72,4,2704,0,0,0,0,1,0,0,1,90737.102,205534.8288,INF-Web Search Portals And All Other Information Services,INF,8,0,0,0,1,0,0,0,0,1.0,0,3.2887874195516544,0.045960192845217324,247,49152.863576271186,136734.91629680095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.22843315818576,44.22843315818576,0.0,0.0
91,91,60,0,1,03,9,2,21,30,52,16000.0,54100.0,5071,1.0,0,2023HU0003649,1,0.0,0,0,100,1.019518,4,4,72,2,3600,0,0,0,1,0,0,0,1,16312.287999999999,55155.9238,RET-Pharmacies And Drug Retailers,RET,14,0,0,1,0,0,0,0,0,0.0,0,7.510778307238485,0.1327836599625981,732,11644.283636150234,39542.52599205915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.51883588513682,34.51883588513682,0.0,0.0
194,194,59,0,1,03,9,2,21,37,52,87000.0,165200.0,0570,1.0,0,2023HU0004844,0,0.0,0,0,900,1.019518,4,4,72,2,3481,0,0,0,1,0,0,0,1,88698.06599999999,168424.3736,"UTL-Electric Power Generation, Transmission And Distribution",UTL,18,1,0,0,0,0,0,0,0,0.0,0,5.055797238509552,0.08522458255736877,755,88698.06599999999,112664.00530153507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.890937283599264,42.890937283599264,0.0,0.0
56,56,55,0,3,03,8,2,20,30,52,22400.0,34000.0,9370,1.0,0,2023HU0004860,1,0.0,0,0,2100,1.019518,4,4,72,4,3025,0,0,1,0,0,0,0,0,22837.2032,34663.612,ADM-Executive Offices And Legislative Bodies,ADM,1,0,0,0,0,1,0,0,0,0.0,0,4.888446514423077,0.07949317081396189,431,32315.760552498803,89158.69438154445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9109233173899,35.9109233173899,0.0,0.0
