PWGTP,WGTP,AGEP,SEX,MAR,HISP,RAC1P,CIT,SCHL,WKHP,WKWN,WAGP,HINCP,INDP,ESR,FS,SERIALNO,R65,NOC,NRC,FER,PUMA,ADJINC,HUPAOC,HUPARC,state,HHSIZE,SQ_AGEP,EDU1,EDU2,EDU3,EDU4,EDU5,BLW21,EDU_AGE,MARRIED,ADJ_WAGP,ADJ_HINCP,INDP_cat,INDP_prefix,INDP_code,IND1,IND2,IND3,IND4,IND5,IND6,OC_under6,FER_MAR,NOC_MAR,OCunder6_MAR,unemp_reg,fs_availibility,fs_lagreceipt,avg_WAGP,avg_HINCP,SIMBENEFIT,SQ_SIMBENEFIT,SIMBENEFIT_SNAP,SB_EDU2,SB_EDU3,SB_EDU4,SB_EDU5,Elig_NAP,Elig_SNAP,epsilon,P_takeup_NAP,P_nontake_NAP,P_takeup_SNAP,P_nontake_SNAP,takeup_change,takeup_change_pct
142,125,65,0,1,03,8,2,16,0,0,0.0,0.0,N,,1,2023HU0000242,1,0.0,0,0,1300,1.019518,4,4,72,2,4225,0,1,0,0,0,0,0,1,0.0,0.0,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,-0.2058311154625253,-0.5036919697884484,4899,24006464.595579144,7207.568269162047,4899.6392311658155,0.0,0.0,0.0,1,1,0.11018060179573719,0.7298386383592229,0.2701613616407771,0.7663551890195844,0.23364481098041556,0.036516550660361524,5.003373176083925
42,57,54,0,1,03,8,2,1,0,0,0.0,0.0,N,,0,2023HU0000253,1,0.0,0,0,2200,1.019518,4,4,72,2,2916,1,0,0,0,0,0,0,1,0.0,0.0,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,3.2887874195516544,0.045960192845217324,247,-0.2165871954760813,-0.5010853784272522,4899,24006457.15230034,7207.567509587818,0.0,0.0,0.0,0.0,1,1,0.062290155398011395,0.8616745079659516,0.13832549203404843,0.8854043080718381,0.11459569192816188,0.023729800105886545,2.7539169241414077
207,207,67,0,5,03,9,2,12,0,0,0.0,10000.0,N,,1,2023HU0000540,2,0.0,0,0,2000,1.019518,4,4,72,2,4489,1,0,0,0,0,0,0,0,0.0,10195.179999999998,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,6.013078089461713,0.12033076703735386,783,-0.20356922455527432,-0.4613572054338045,4899,24006343.706249636,7207.555932592354,0.0,0.0,0.0,0.0,1,1,0.035195533950569846,0.9297785344592575,0.07022146554074249,0.9439375139080952,0.056062486091904784,0.014158979448837705,1.522833548429069
106,105,64,0,3,03,8,2,16,0,0,0.0,6310.0,N,,1,2023HU0002106,0,0.0,0,0,200,1.019518,4,4,72,1,4096,0,1,0,0,0,0,0,0,0.0,6433.158579999999,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,6.114307818770852,0.12014854729483725,668,-0.1743825470231435,-0.1743825470231435,2133,4550272.373018089,3392.007129396481,2133.1367450349003,0.0,0.0,0.0,1,1,0.020144328186017437,0.902859267863279,0.09714073213672103,0.9131641008664406,0.08683589913355938,0.01030483300316165,1.1413553994466081
73,78,63,0,1,05,8,3,9,0,0,0.0,9600.0,9290,,1,2023HU0003067,0,0.0,0,0,1101,1.019518,4,4,72,2,3969,1,0,0,0,0,0,0,1,0.0,9787.3728,SRV-Private Households,SRV,16,0,0,0,0,1,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,3830.9758619286795,3830.719977932869,2811,7906501.529265254,5119.779234799976,0.0,0.0,0.0,0.0,1,1,0.04821741509378291,0.8029000969676902,0.19709990303230984,0.83312979315431,0.16687020684568998,0.03022969618661986,3.7650632128191592
165,165,66,0,2,03,9,2,11,0,0,0.0,6200.0,N,,1,2023HU0005273,1,0.0,0,0,2200,1.019518,4,4,72,1,4356,1,0,0,0,0,0,0,0,0.0,6321.0116,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,3.2887874195516544,0.045960192845217324,247,-0.2165871954760813,-0.2165871954760813,3104,9637918.070053844,4363.370033266996,0.0,0.0,0.0,0.0,1,1,0.029701453409846666,0.9013338067035841,0.0986661932964159,0.9117627132302615,0.08823728676973852,0.010428906526677384,1.15705263123533
256,256,48,0,4,03,1,1,16,0,0,0.0,18200.0,7860,0.0,1,2023HU0005323,0,1.0,1,0,1800,1.019518,2,2,72,3,2304,0,1,0,0,0,0,0,0,0.0,18555.2276,EDU-Elementary And Secondary Schools,EDU,4,0,0,0,0,0,1,0,0,0.0,0,6.303287380699894,0.11058868333553046,583,14847.958986876512,14847.556779212899,1291,1668325.9370616137,4601.999784111274,1291.63692153082,0.0,0.0,0.0,1,1,0.008401003187709095,0.9375347371978684,0.062465262802131605,0.9553143410831663,0.04468565891683374,0.017779603885297868,1.8964208129970814
450,256,21,0,5,03,1,2,19,0,0,0.0,18200.0,N,,1,2023HU0005323,0,1.0,1,0,1800,1.019518,2,2,72,3,441,0,0,1,0,0,0,0,0,0.0,18555.2276,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,6.303287380699894,0.11058868333553046,583,-0.16760613777395353,14847.556779212899,1291,1668325.9370616137,4601.999784111274,0.0,1291.63692153082,0.0,0.0,1,1,0.016277938381217397,0.8630439514396916,0.1369560485603084,0.8958797033987279,0.10412029660127209,0.03283575195903632,3.8046442367461326
117,117,45,0,5,03,8,2,12,0,0,0.0,0.0,9920,0.0,1,2023HU0006651,0,0.0,0,0,1101,1.019518,4,4,72,1,2025,1,0,0,0,0,0,0,0,0.0,0.0,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",19,0,0,0,0,0,0,0,0,0.0,0,4.2539866393707575,0.07692561953670343,1149,0.0,0.0,2133,4550055.580741491,3391.956313418704,0.0,0.0,0.0,0.0,1,1,0.02164342837110076,0.8942074892865494,0.10579251071345064,0.9051891679796338,0.09481083202036622,0.010981678693084418,1.2280906640410985
54,54,62,0,1,05,8,5,16,0,0,0.0,0.0,N,,1,2023HU0007089,2,0.0,0,0,1300,1.019518,4,4,72,3,3844,0,1,0,0,0,0,0,1,0.0,0.0,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),12,0,0,0,0,0,0,0,0,0.0,0,4.494460316354261,0.07911436174626973,758,-0.2058311154625253,-0.7095230852509737,6589,43426113.32879741,9900.212127077892,6589.849264497437,0.0,0.0,0.0,1,1,0.14871778919221282,0.7287318118165418,0.2712681881834582,0.7803313708692783,0.21966862913072172,0.0515995590527365,7.080733709718532
